title,audience_rating,genre,critic_rating,runtime,votes,gross,year
The Gray Man - O Agente Oculto,6.5,"Action, Thriller",49,122 min,224204,N/A,2022
Os Espíritos de Inisherin,7.7,"Comedy, Drama",87,114 min,224092,N/A,2022
A Oeste Nada de Novo,7.8,"Action, Drama, War",76,148 min,220152,N/A,2022
O Projeto Adam,6.7,"Action, Adventure, Comedy",55,106 min,219250,N/A,2022
Elvis,7.3,"Biography, Drama, Music",64,159 min,214869,"151,040,048",2022
Obi-Wan Kenobi,7.1,"Action, Adventure, Sci-Fi",N/A,N/A,214099,N/A,2022
O Predador: Primeira Presa,7.1,"Action, Adventure, Drama",71,100 min,212727,N/A,2022
Mundo Jurássico: Domínio,5.6,"Action, Adventure, Sci-Fi",38,147 min,190801,"376,851,080",2022
She-Hulk: A Advogada,5.3,"Action, Adventure, Comedy",N/A,35 min,182136,N/A,2022
Laal Singh Chaddha,5.6,"Comedy, Drama, Romance",46,159 min,176469,N/A,2022
A Baleia,7.7,Drama,60,117 min,174384,N/A,2022
Severance,8.7,"Drama, Mystery, Sci-Fi",N/A,55 min,168977,N/A,2022
Morte no Nilo,6.3,"Crime, Drama, Mystery",52,127 min,167317,"45,630,104",2022
Sandman: Mestre dos Sonhos,7.7,"Drama, Fantasy, Horror",N/A,45 min,161270,N/A,2022
Barbarian,7.0,"Horror, Mystery, Thriller",78,102 min,158153,N/A,2022
Monstros Fantásticos: Os Segredos de Dumbledore,6.2,"Adventure, Family, Fantasy",47,142 min,157622,"95,850,844",2022
"RRR: Revolta, Rebelião, Revolução",7.8,"Action, Drama",83,187 min,155940,"14,500,000",2022
O Gato das Botas: O Último Desejo,7.9,"Animation, Adventure, Comedy",73,102 min,152637,"168,464,485",2022
Triângulo da Tristeza,7.3,"Comedy, Drama",63,147 min,151909,N/A,2022
Reacher,8.1,"Action, Crime, Drama",N/A,49 min,148727,N/A,2022
Andor,8.4,"Action, Adventure, Drama",N/A,40 min,146716,N/A,2022
DAHMER - Monstro: A história de Jeffrey Dahmer,7.9,"Biography, Crime, Drama",N/A,534 min,144546,N/A,2022
The Bear,8.6,"Comedy, Drama",N/A,30 min,144523,N/A,2022
